City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,Qaqortoq,60.7167,-46.0333,32.36,89,6,6.22,GL,2024-05-11 01:59:56
162,East London,-33.0153,27.9116,64.24,69,14,17.6,ZA,2024-05-11 01:59:56
163,Daru,-9.0763,143.2092,81.52,83,17,12.97,PG,2024-05-11 01:59:56
164,Fort Stockton,30.894,-102.8793,73.45,51,100,4.61,US,2024-05-11 01:58:33
165,Grand Baie,-20.0182,57.5802,75.67,73,3,20.04,MU,2024-05-11 01:59:56
166,Luderitz,-26.6481,15.1594,57.25,53,0,11.25,NA,2024-05-11 01:59:56
167,Puerto Real,36.5282,-6.1901,60.96,44,0,2.3,ES,2024-05-11 01:59:57
168,Sivasli,38.4994,29.6836,53.22,81,100,1.12,TR,2024-05-11 01:59:57
169,Tralee,52.2704,-9.7026,48.61,86,81,4.65,IE,2024-05-11 01:59:57
170,Butterworth,5.3991,100.3638,84.06,91,40,4.61,MY,2024-05-11 01:59:57
171,Bei'An,24.5399,109.533,80.82,78,97,11.86,CN,2024-05-11 01:59:57
172,Ugoofaaru,5.6667,73.0,84.78,71,100,2.75,MV,2024-05-11 01:59:57
173,Tosontsengel,48.7567,98.2839,55.15,29,98,3.74,MN,2024-05-11 01:59:57
174,Selfoss,63.9331,-20.9971,49.05,98,100,9.19,IS,2024-05-11 01:59:57
175,Cidade Velha,14.9167,-23.6167,75.67,64,20,10.36,CV,2024-05-11 01:59:57
176,Lamin,13.3522,-16.4339,75.31,77,10,9.44,GM,2024-05-11 01:59:57
177,Vilyuysk,63.7553,121.6247,30.99,50,100,8.99,RU,2024-05-11 01:59:57
178,Mersa Matruh,31.3525,27.2453,64.6,72,0,13.8,EG,2024-05-11 01:59:58
179,Fale Old Settlement,-9.3852,-171.2468,84.94,75,98,8.79,TK,2024-05-11 01:59:58
180,Pandaan,-7.6527,112.6875,85.5,62,16,3.27,ID,2024-05-11 01:59:58
181,Utrik,11.2278,169.8474,81.18,81,100,16.58,MH,2024-05-11 01:59:58
182,Codrington,-38.2667,141.9667,64.78,64,4,7.38,AU,2024-05-11 01:59:58
183,Soure,-0.7167,-48.5233,83.82,89,100,6.35,BR,2024-05-11 01:59:58
184,Anaconda,46.1285,-112.9423,67.19,64,13,2.73,US,2024-05-11 01:59:08
185,Saipan,15.1355,145.701,92.1,58,75,19.57,MP,2024-05-11 01:59:58
186,Rakops,-21.0167,24.3333,62.83,32,0,4.61,BW,2024-05-11 01:59:58
187,Tottori,35.5,134.2333,73.47,49,20,13.8,JP,2024-05-11 01:57:41
188,Punta Arenas,-53.15,-70.9167,33.91,86,0,9.22,CL,2024-05-11 01:59:59
189,Aliwal North,-30.6937,26.7114,55.65,52,0,4.21,ZA,2024-05-11 01:59:59
190,San Pablo Villa De Mitla,16.9167,-96.4,73.4,35,38,6.35,MX,2024-05-11 01:59:59
191,Karaton,-6.3424,106.1045,84.69,68,92,1.07,ID,2024-05-11 01:59:59
192,Fort St. John,56.2499,-120.8529,69.69,18,40,20.71,CA,2024-05-11 01:59:02
193,Uliastay,47.7417,96.8444,58.62,21,47,2.06,MN,2024-05-11 01:59:59
194,Callao,-12.0667,-77.15,71.73,77,0,14.97,PE,2024-05-11 01:58:05
195,Poso,-1.3959,120.7524,86.47,63,48,2.55,ID,2024-05-11 01:59:59
196,Kailua-Kona,19.6406,-155.9956,79.29,86,84,3.0,US,2024-05-11 01:59:59
197,Puerto Armuelles,8.2833,-82.8667,80.1,77,100,4.0,PA,2024-05-11 01:59:59
198,Minas De Marcona,-15.2119,-75.1103,56.79,86,68,11.12,PE,2024-05-11 01:59:59
199,Queenstown,-31.8976,26.8753,48.4,68,0,2.8,ZA,2024-05-11 01:59:59
200,Uryupinsk,50.8047,42.0138,50.61,60,100,13.33,RU,2024-05-11 02:00:00
201,Carahue,-38.7,-73.1667,42.51,95,46,1.81,CL,2024-05-11 02:00:00
202,Las Varillas,-31.8721,-62.7195,50.32,67,100,6.42,AR,2024-05-11 01:56:00
203,Hamilton,39.1834,-84.5333,58.77,71,20,1.99,US,2024-05-11 01:56:06
204,Cabo San Lucas,22.8909,-109.9124,80.62,63,35,11.07,MX,2024-05-11 01:55:57
205,Lagunillas,10.1301,-71.2595,80.87,84,100,8.37,VE,2024-05-11 02:00:00
206,Pawayan,28.0667,80.1,89.02,35,1,6.73,IN,2024-05-11 02:00:00
207,Invercargill,-46.4,168.35,50.02,93,80,7.0,NZ,2024-05-11 02:00:00
208,Hami,42.8,93.45,79.27,11,39,4.47,CN,2024-05-11 02:00:00
209,Kapuskasing,49.4169,-82.4331,59.09,35,75,3.44,CA,2024-05-11 02:00:01
210,Ust-Tsilma,65.441,52.1498,21.43,94,58,4.07,RU,2024-05-11 02:00:01
211,Usogorsk,63.4106,48.6872,20.66,97,76,4.41,RU,2024-05-11 02:00:01
212,Colonia,50.9333,6.95,55.81,85,0,1.14,DE,2024-05-11 02:00:01
213,Pocatello,42.8713,-112.4455,66.11,38,0,8.05,US,2024-05-11 01:58:07
214,Mithi,24.7318,69.7981,81.73,77,0,10.04,PK,2024-05-11 02:00:02
215,Bardai,11.65,7.2333,79.97,61,74,11.9,NG,2024-05-11 02:00:04
216,Rio Preto Da Eva,-2.6994,-59.6997,75.49,99,100,2.55,BR,2024-05-11 02:00:05
217,Nelson Bay,-32.7167,152.15,64.99,96,100,1.01,AU,2024-05-11 02:00:05
218,Port Moresby,-9.4431,147.1797,87.22,70,40,5.75,PG,2024-05-11 02:00:06
219,Upper Grand Lagoon,30.1633,-85.7408,74.08,93,0,3.44,US,2024-05-11 02:00:06
220,Limassol,34.675,33.0333,66.27,77,20,5.75,CY,2024-05-11 02:00:07
221,Nouna,12.7333,-3.8667,95.43,25,1,10.65,BF,2024-05-11 02:00:07
222,Kuta,-8.7233,115.1723,84.15,88,20,10.36,ID,2024-05-11 01:58:44
223,Namtsy,62.7161,129.6658,38.14,39,100,6.44,RU,2024-05-11 02:00:07
224,Port Isabel,26.0734,-97.2086,83.01,86,100,15.01,US,2024-05-11 02:00:08
225,Shiyan,32.6475,110.7781,67.17,64,100,5.5,CN,2024-05-11 02:00:08
226,St Ives,50.2086,-5.4875,55.72,85,70,9.42,GB,2024-05-11 02:00:08
227,Sampit,-2.5333,112.95,86.94,69,49,3.83,ID,2024-05-11 02:00:08
228,Cotia,-23.6704,-46.9472,72.82,79,100,1.16,BR,2024-05-11 02:00:08
229,Kez,57.8979,53.7152,31.24,91,100,7.29,RU,2024-05-11 02:00:08
230,Salto,-31.3833,-57.9667,55.87,96,100,4.0,UY,2024-05-11 01:55:45
231,Jamestown,42.097,-79.2353,49.59,81,0,6.91,US,2024-05-11 01:55:21
232,Sainte-Anne-Des-Monts,49.124,-66.4924,40.87,87,4,3.44,CA,2024-05-11 02:00:09
233,Masterton,-40.9597,175.6575,56.88,48,69,7.99,NZ,2024-05-11 02:00:09
234,Lagos,6.5833,3.75,79.79,87,44,3.62,NG,2024-05-11 01:57:56
235,Victoria,22.2855,114.1577,85.42,83,100,7.0,HK,2024-05-11 01:57:33
236,Kovdor,67.5662,30.4758,28.0,92,99,12.46,RU,2024-05-11 02:00:09
237,Cambria,35.5641,-121.0808,68.41,84,33,3.49,US,2024-05-11 02:00:09
238,Xining,36.6167,101.7667,52.12,63,100,2.59,CN,2024-05-11 02:00:09
239,Nellore,14.4333,79.9667,87.67,63,67,11.61,IN,2024-05-11 02:00:09
240,Richards Bay,-28.783,32.0377,73.8,80,0,16.98,ZA,2024-05-11 01:57:34
241,Bamboo Flat,11.7,92.7167,89.69,70,40,6.91,IN,2024-05-11 02:00:10
242,Waiuku,-37.25,174.75,61.7,62,0,5.46,NZ,2024-05-11 02:00:10
243,Louisville,38.2542,-85.7594,61.05,71,0,0.0,US,2024-05-11 01:57:33
244,Yuxia,34.0615,108.6291,70.41,24,100,3.33,CN,2024-05-11 02:00:10
245,Moranbah,-22.0016,148.0466,78.46,54,55,13.47,AU,2024-05-11 02:00:10
246,Vershino-Darasunskiy,52.35,115.5167,34.88,94,100,8.95,RU,2024-05-11 02:00:10
247,Saint-Leu,-21.15,55.2833,74.23,65,4,4.32,RE,2024-05-11 02:00:10
248,Butembo,0.15,29.2833,57.97,95,93,3.56,CD,2024-05-11 02:00:10
249,Island Harbour,50.724,-1.2758,55.92,90,100,7.96,GB,2024-05-11 02:00:11
250,Krasnozerskoye,53.9828,79.2374,54.5,46,98,7.0,RU,2024-05-11 02:00:11
251,Abepura,-2.6333,140.5833,83.21,79,20,2.3,ID,2024-05-11 02:00:11
